Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
05/05/2020,1090,58,156,53,206,206,218,206,125,49,27,0,549,503,38,494,16,163,97,51,269,0,1,1,1,0,10,17,28,0,27,31,0,17,5,21,14,0,1,1,12,14,18,37,34,23,17,0,74,82,0,56,7,57,24,12,0
08/13/2020,391,4,24,39,118,79,72,40,24,11,8,0,211,178,2,183,8,71,89,13,27,0,0,0,0,1,0,3,0,0,1,3,0,2,0,1,1,0,0,0,4,2,5,0,6,5,2,0,15,9,0,8,0,11,3,2,0
03/28/2021,347,7,44,30,114,73,51,41,24,8,6,0,188,159,0,68,12,78,113,23,53,0,0,0,2,2,2,0,1,0,1,6,0,3,0,2,2,0,0,0,5,4,2,19,8,4,2,0,20,24,0,9,0,26,6,3,0
08/02/2020,96,3,21,11,21,29,10,6,12,6,1,0,45,50,1,26,2,28,24,6,10,0,0,0,2,0,0,1,0,0,0,3,0,1,0,1,1,0,0,0,3,9,2,3,1,2,1,0,11,10,0,6,0,9,3,2,1
08/16/2020,120,3,18,10,40,28,9,15,10,6,1,1,56,62,2,27,5,17,42,9,20,0,0,1,0,1,0,1,0,0,2,1,0,0,0,1,2,0,0,0,6,0,1,2,5,1,3,0,12,5,1,9,1,6,1,0,1
06/25/2021,35,3,4,8,6,6,9,2,4,0,0,0,16,19,0,8,2,5,3,1,16,0,0,1,0,0,1,1,0,0,2,1,0,0,0,3,0,0,0,0,1,2,1,0,0,0,0,0,3,1,0,0,0,3,1,0,0
03/23/2020,290,3,100,4,46,55,53,56,30,35,11,0,141,149,0,37,13,135,74,11,20,1,1,0,0,0,0,1,0,0,0,3,0,0,0,3,0,0,0,1,4,15,12,17,17,25,9,0,48,52,0,15,5,63,11,5,1
02/26/2021,357,6,20,67,97,57,58,29,32,11,6,0,180,175,2,98,8,74,88,17,72,0,0,0,0,1,1,0,4,0,0,6,0,3,0,1,2,0,0,2,1,1,2,3,4,2,5,0,10,10,0,5,0,11,3,1,0
05/31/2021,45,2,18,4,8,10,8,4,5,2,4,0,23,22,0,10,1,17,8,3,6,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,2,0,0,2,1,0,3,4,3,3,2,0,12,6,0,1,0,13,3,0,1
08/06/2021,408,4,26,56,114,114,46,37,23,13,5,0,199,209,0,77,17,93,102,17,102,1,0,1,0,0,0,1,1,0,0,4,0,1,0,2,1,0,0,2,3,4,5,7,2,3,0,0,11,15,0,6,0,13,4,1,2
07/02/2020,256,6,25,25,80,44,39,28,22,10,8,0,144,112,0,80,8,61,50,6,51,0,0,0,0,1,1,1,3,0,3,3,0,3,0,2,1,0,0,1,5,4,4,2,4,1,4,0,12,13,0,6,0,8,6,3,2
06/13/2020,120,18,23,13,25,19,14,22,14,7,6,0,67,53,0,48,0,22,14,7,29,0,0,0,0,3,5,5,5,0,11,7,0,3,1,6,8,0,0,0,3,1,6,2,5,1,5,0,13,10,0,9,0,9,4,1,0
09/14/2020,430,3,19,62,108,91,66,59,27,9,8,0,226,203,1,192,10,63,89,8,68,0,0,0,0,1,0,1,1,0,1,2,0,3,0,0,0,0,0,1,3,1,3,3,3,3,2,0,7,12,0,7,0,8,4,0,0
08/04/2020,369,2,32,50,105,69,53,39,33,16,4,0,202,164,3,168,10,71,65,17,38,0,0,0,0,0,1,0,1,0,1,1,0,0,0,2,0,0,0,0,4,2,6,3,8,7,2,0,18,14,0,9,3,15,4,1,0
10/07/2020,549,1,26,59,163,118,85,63,34,18,9,0,269,278,2,197,8,69,137,19,119,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,3,3,4,3,6,4,3,0,13,13,0,8,0,9,8,0,1
05/30/2021,51,7,10,7,14,11,6,6,7,0,0,0,23,28,0,17,0,17,8,2,7,0,0,0,0,1,1,3,2,0,3,4,0,1,0,5,1,0,0,1,0,0,3,1,4,0,1,0,7,3,0,2,0,6,2,0,0
06/22/2020,218,9,31,23,60,34,38,26,19,15,3,0,113,104,1,100,3,42,28,5,40,0,1,0,0,2,3,1,2,0,5,4,0,7,0,1,1,0,0,1,4,5,3,6,5,4,3,0,14,17,0,15,0,13,3,0,0
08/23/2020,130,1,26,10,43,17,23,15,12,8,2,0,71,59,0,38,1,27,42,5,17,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,2,5,5,3,4,2,0,10,16,0,10,0,7,6,2,1
06/03/2021,97,7,16,21,20,19,14,10,6,6,1,0,49,48,0,15,4,42,10,2,24,0,0,0,1,0,2,4,0,0,4,3,0,3,1,2,1,0,0,2,1,3,2,2,3,2,1,0,8,8,0,1,1,11,1,0,2
09/15/2020,352,1,21,54,100,67,47,42,26,13,3,0,189,163,0,156,6,46,90,12,42,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,4,5,3,4,3,0,10,11,0,8,1,7,4,0,1
08/21/2020,432,5,21,60,140,89,46,54,29,11,3,0,244,186,2,220,16,55,83,16,42,0,0,0,1,1,1,1,1,0,3,2,0,4,0,0,1,0,0,1,0,1,3,5,4,3,4,0,12,8,1,10,0,6,3,2,0
04/09/2020,576,25,150,9,83,102,104,129,74,40,35,0,260,316,0,174,24,210,85,29,54,0,0,0,0,3,7,5,10,0,13,12,0,5,1,14,5,0,0,2,5,12,17,34,32,28,20,0,64,85,1,29,6,80,28,6,1
05/16/2020,514,28,102,35,106,87,93,77,59,35,22,0,277,232,5,203,11,95,52,15,138,0,0,1,3,0,6,4,14,0,8,20,0,9,1,12,6,0,0,2,12,4,13,20,18,16,17,0,51,50,1,36,4,31,16,2,13
03/24/2020,350,2,119,1,59,67,58,56,61,34,14,0,158,192,0,63,13,156,84,9,25,0,0,0,0,0,2,0,0,0,0,2,0,1,0,1,0,0,0,1,3,10,14,29,27,21,14,0,48,71,0,22,0,74,17,5,1
01/19/2021,1084,19,65,141,265,206,168,124,91,58,31,0,551,533,0,396,38,178,229,62,181,0,0,0,0,3,5,5,6,0,5,14,0,5,2,8,4,0,0,3,3,5,6,14,9,12,13,0,30,35,0,21,3,29,8,2,2
03/13/2021,253,2,16,28,63,60,44,31,20,4,3,0,129,123,1,62,3,47,84,25,32,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,1,0,0,0,1,1,2,3,3,5,1,0,8,8,0,2,0,8,4,1,1
09/19/2020,170,2,19,11,49,41,23,24,16,2,4,0,89,79,2,64,2,20,42,12,30,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,1,0,0,2,1,1,1,4,4,3,3,0,12,6,1,9,0,7,2,1,0
05/06/2020,972,44,134,55,189,160,213,170,94,53,38,0,473,467,32,471,13,146,89,38,215,0,0,1,3,5,11,10,14,0,14,30,0,13,5,14,12,0,0,2,1,10,22,24,31,23,21,0,62,72,0,44,1,51,23,14,1
07/23/2020,319,3,29,33,101,68,43,36,17,12,9,0,190,128,1,92,14,81,75,14,43,0,0,0,1,0,0,2,0,0,2,1,0,1,0,2,0,0,0,0,4,6,3,5,3,5,3,0,15,14,0,14,1,10,3,1,0
11/28/2020,1373,17,116,158,326,257,218,200,129,55,30,0,696,674,3,482,40,155,241,58,397,0,0,1,0,4,3,4,5,0,9,8,0,6,0,7,4,0,0,2,7,8,11,17,24,24,23,0,52,64,0,36,3,43,22,5,7
10/24/2020,885,5,62,109,224,197,140,105,59,38,13,0,470,415,0,327,19,117,217,39,166,0,0,0,0,0,0,2,3,0,2,3,0,0,0,2,3,0,0,2,9,8,6,6,10,15,6,0,33,29,0,19,2,26,9,5,1
09/04/2020,396,2,23,61,102,83,53,38,33,16,10,0,205,189,2,187,11,68,84,9,37,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,3,1,4,3,2,4,6,0,16,7,0,10,1,9,3,0,0
05/14/2021,292,6,34,68,69,55,35,28,26,7,4,0,154,136,2,61,10,103,37,9,72,0,0,0,0,0,3,2,1,0,4,2,0,3,0,2,1,0,0,1,6,3,2,7,10,3,2,0,21,13,0,9,1,17,4,0,3
08/01/2020,141,5,22,7,45,27,17,25,11,6,3,0,69,72,0,49,0,32,31,6,23,0,0,0,0,1,0,2,2,0,3,2,0,2,0,2,1,0,0,0,3,2,6,5,0,4,2,0,11,11,0,10,0,10,2,0,0
06/13/2021,24,4,5,5,2,9,2,3,2,1,0,0,16,8,0,5,0,12,2,0,5,0,0,1,0,2,1,0,0,0,0,4,0,3,0,0,1,0,0,0,2,1,0,1,1,0,0,0,5,0,0,2,0,2,1,0,0
03/30/2021,723,3,41,93,247,142,89,77,58,12,5,0,369,353,1,148,38,144,222,37,134,0,0,1,0,0,0,1,1,0,0,3,0,1,1,0,1,0,0,0,2,3,9,8,11,6,2,0,22,19,0,13,2,19,5,0,2
02/14/2021,143,9,20,22,38,29,19,17,4,12,2,0,75,68,0,26,8,23,43,10,33,0,0,0,0,0,2,3,4,0,4,5,0,2,0,3,4,0,0,1,2,3,0,4,4,4,2,0,9,11,0,7,0,8,4,0,1
04/26/2020,434,51,129,12,83,55,96,67,57,32,32,0,228,206,0,150,18,90,61,23,92,0,1,0,4,3,13,11,19,0,22,29,0,18,2,23,8,0,0,0,12,5,23,21,28,20,20,0,57,72,0,54,2,36,26,10,1
08/09/2020,115,2,17,16,41,21,12,6,9,6,4,0,53,62,0,42,4,17,37,1,14,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,1,0,0,0,5,2,1,3,2,0,4,0,9,8,0,2,0,10,3,0,2
12/29/2020,1713,21,66,218,389,356,259,222,150,71,48,0,921,789,3,633,49,250,323,87,371,0,0,0,1,2,5,7,6,0,8,13,0,6,0,9,6,0,0,3,2,5,8,7,18,11,12,0,38,28,0,19,3,23,15,3,3
05/08/2020,923,44,97,52,169,191,196,154,83,44,34,0,443,465,15,441,18,138,77,40,209,0,0,0,1,4,13,12,14,0,21,23,0,15,0,15,14,0,0,0,7,8,9,19,18,13,23,0,47,50,0,38,3,36,12,5,3
03/06/2021,215,2,32,29,56,48,24,21,22,8,7,0,106,109,0,80,10,39,41,15,30,0,0,0,0,1,0,1,0,0,0,2,0,0,1,0,1,0,0,0,1,5,4,4,6,6,6,0,13,19,0,6,1,14,7,2,2
07/11/2020,153,2,19,8,68,22,22,13,12,8,0,0,78,75,0,34,3,42,35,13,26,0,1,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,7,1,2,1,3,4,1,0,8,11,0,4,1,13,1,0,0
07/08/2020,308,4,28,37,100,67,38,33,20,11,2,0,158,150,0,88,9,71,55,11,74,0,0,0,0,0,2,1,1,0,3,1,0,2,0,1,1,0,0,2,6,3,0,2,6,5,4,0,14,14,0,10,1,8,6,1,2
06/21/2021,46,3,5,11,11,9,7,1,5,2,0,0,24,22,0,10,0,17,8,2,9,0,0,0,0,1,1,1,0,0,3,0,0,1,0,2,0,0,0,0,1,0,1,2,0,1,0,0,4,1,0,1,0,4,0,0,0
03/22/2020,168,2,68,6,23,27,31,37,24,14,6,0,74,94,0,22,6,82,50,5,3,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,1,0,0,6,7,12,14,12,12,5,0,34,34,0,11,4,45,5,3,0
07/28/2020,332,3,17,36,87,75,66,33,19,9,7,0,185,145,2,153,11,73,46,9,40,0,0,0,1,0,0,1,1,0,1,2,0,0,0,2,1,0,0,1,2,7,3,1,1,1,1,0,12,5,0,7,0,7,2,0,1
09/26/2020,233,4,19,26,66,50,32,40,11,7,1,0,105,128,0,90,5,14,73,13,38,0,0,1,0,1,1,0,1,0,1,3,0,2,0,1,1,0,0,0,2,5,1,6,1,3,1,0,13,6,0,6,0,4,7,1,1
07/22/2020,365,4,34,39,123,82,56,28,22,13,2,0,188,171,6,131,9,80,96,10,39,0,0,0,0,1,0,1,2,0,1,3,0,1,0,1,2,0,0,3,3,7,5,1,6,7,2,0,19,15,0,12,1,15,4,1,1
10/22/2020,1307,4,67,146,332,308,214,136,92,53,26,0,680,622,5,498,22,177,289,50,271,0,0,1,1,0,0,2,0,0,2,2,0,1,0,1,2,0,0,0,5,6,8,14,9,9,16,0,42,25,0,23,1,20,15,6,2
07/16/2021,153,1,11,23,42,46,14,18,6,3,1,0,77,73,3,18,5,33,44,8,45,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,3,0,1,4,0,2,0,6,5,0,2,0,8,1,0,0
,493,0,635,27,113,104,84,69,59,24,13,0,260,227,6,117,15,107,123,30,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,78,71,92,103,106,90,68,0,302,329,4,208,47,199,127,36,18
06/07/2020,110,20,31,3,30,29,16,13,8,7,4,0,52,58,0,43,3,22,9,4,29,0,0,1,2,1,8,1,7,0,7,13,0,10,0,8,2,0,0,0,6,6,5,5,4,5,0,0,18,13,0,15,2,9,1,2,2
03/07/2021,173,4,12,16,43,39,32,24,11,5,3,0,84,88,1,42,15,28,55,13,20,0,0,0,0,1,1,0,2,0,2,2,0,0,0,2,2,0,0,1,0,2,1,2,0,3,3,0,6,6,0,8,1,1,1,1,0
04/25/2020,632,38,117,32,121,119,132,106,67,31,24,0,308,324,0,266,14,107,77,23,145,0,0,2,1,6,6,11,12,0,14,24,0,12,2,19,5,0,0,0,5,11,12,25,29,20,15,0,51,66,0,44,3,41,18,11,0
01/16/2021,625,13,60,84,141,105,112,82,63,28,9,1,355,269,1,243,22,93,124,23,120,0,0,0,1,1,5,3,3,0,6,7,0,9,1,0,3,0,0,2,4,3,5,5,15,13,12,1,28,32,0,16,1,23,16,3,1
04/21/2021,651,7,71,110,159,132,105,62,44,19,20,0,343,308,0,141,28,208,120,24,130,0,1,0,1,1,2,2,0,0,2,5,0,2,0,2,2,1,0,2,8,7,9,14,15,6,10,0,40,31,0,10,4,45,8,3,1
03/05/2021,291,5,23,47,77,63,38,29,23,8,6,0,150,141,0,69,20,57,80,19,46,0,0,0,0,0,1,1,3,0,3,2,0,1,0,2,2,0,0,1,1,0,2,10,5,1,3,0,11,12,0,4,2,9,7,1,0
06/27/2020,130,5,15,11,41,21,23,14,10,7,3,0,64,66,0,45,2,35,21,4,23,0,0,0,0,0,1,2,2,0,4,1,0,1,0,3,1,0,0,1,4,0,2,1,4,0,3,0,9,6,0,6,0,6,1,1,1
04/02/2021,673,2,57,83,199,138,108,82,39,17,7,0,347,326,0,171,32,128,185,31,126,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,2,3,5,12,9,12,10,4,0,27,30,0,16,1,28,9,2,1
04/13/2021,672,4,52,80,197,141,111,88,30,13,12,0,366,303,3,151,16,214,134,30,127,0,0,0,0,1,0,1,2,0,0,4,0,0,0,3,1,0,0,0,7,8,5,14,7,6,5,0,28,24,0,5,3,36,6,2,0
04/03/2020,467,24,160,2,71,64,77,94,80,49,30,0,255,212,0,114,24,184,81,17,47,0,0,1,2,2,4,6,9,0,11,13,0,3,0,19,2,0,0,2,7,9,23,26,39,33,21,0,75,84,1,36,4,91,19,6,4
04/11/2021,359,5,52,69,80,75,61,30,28,12,4,0,192,167,0,66,15,120,82,18,58,0,2,0,0,1,0,2,0,0,3,2,0,3,0,1,1,0,0,0,1,9,6,7,14,11,4,0,24,28,0,9,4,24,9,5,1
05/30/2020,238,21,55,22,54,41,43,41,23,9,5,0,131,105,2,99,4,43,21,13,58,0,0,0,2,1,7,5,6,0,11,10,0,11,0,5,4,1,0,2,6,3,8,10,10,9,7,0,19,36,0,15,2,21,9,1,7
10/02/2020,415,3,27,46,107,98,59,40,24,30,11,0,205,209,1,166,12,44,110,22,61,0,0,0,0,1,0,2,0,0,1,2,0,1,0,1,1,0,0,0,3,4,4,4,4,4,4,0,14,12,1,7,2,8,7,1,2
03/08/2020,3,0,7,0,0,1,1,0,0,1,0,0,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,2,0,3,4,0,2,0,4,1,0,0
06/21/2020,48,11,16,4,16,11,3,7,2,4,1,0,29,19,0,16,1,11,6,4,10,0,0,1,0,1,3,3,3,0,6,5,0,4,0,3,4,0,0,1,2,1,1,3,3,4,1,0,11,5,0,6,0,7,2,1,0
06/19/2021,30,2,5,6,11,5,1,2,1,4,0,0,18,12,0,11,2,6,6,1,4,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,3,0,0,0,0,1,1,0,4,1,0,4,1,0,0,0,0
06/20/2021,27,1,6,6,6,4,4,2,5,0,0,0,16,11,0,9,0,6,3,1,8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,1,2,0,4,2,0,2,0,4,0,0,0
05/26/2021,171,5,31,31,44,24,22,24,11,9,6,0,98,73,0,43,2,68,23,5,30,0,0,0,0,0,4,1,0,0,1,4,0,0,0,3,2,0,0,0,5,1,7,8,3,3,4,0,15,16,0,2,0,22,6,0,1
06/22/2021,33,3,3,3,7,8,3,5,5,1,1,0,19,14,0,2,0,16,6,2,7,0,0,0,0,2,0,0,1,0,2,1,0,2,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,2,0,1,1,0,1,0,0
08/18/2020,412,1,25,50,130,79,60,46,22,21,4,0,211,200,1,189,8,61,95,9,50,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2,4,7,3,0,3,4,2,0,12,13,0,9,0,9,3,2,2
04/05/2020,292,26,146,3,31,50,49,73,42,20,24,0,127,165,0,71,11,109,54,11,36,0,0,0,2,5,2,10,7,0,8,18,0,5,0,18,3,0,0,0,3,11,24,36,25,24,23,0,56,90,0,31,10,79,17,6,3
09/20/2020,109,6,17,14,31,29,13,9,5,7,1,0,57,52,0,29,9,13,46,2,10,0,0,0,0,0,3,1,2,0,3,3,0,3,0,1,2,0,0,0,2,2,1,5,3,3,1,0,6,11,0,5,0,7,4,1,0
07/10/2020,345,6,30,35,120,74,51,24,18,18,5,0,168,175,2,102,6,99,66,11,61,0,0,0,0,2,1,2,1,0,1,5,0,3,0,2,1,0,0,0,3,3,0,5,3,12,4,0,14,16,0,6,0,18,6,0,0
03/02/2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
08/15/2020,220,5,21,18,64,41,29,34,21,11,2,0,104,114,2,76,6,52,60,6,20,0,0,0,1,0,0,2,2,0,3,2,0,0,0,3,2,0,0,1,4,2,0,5,3,5,1,0,10,11,0,7,0,10,3,1,0
05/17/2020,326,41,97,17,53,58,37,65,44,22,30,0,156,167,3,142,6,71,29,15,63,0,0,1,1,3,14,9,13,0,16,25,0,18,2,13,7,1,0,0,3,5,11,22,26,17,13,0,45,52,0,37,3,27,17,4,9
02/24/2021,337,4,32,38,79,65,54,48,28,12,13,0,159,173,5,77,7,79,78,17,79,0,0,0,0,0,1,1,2,0,2,2,0,2,0,1,1,0,0,1,3,1,7,6,5,5,4,0,16,16,0,8,2,16,5,1,0
04/23/2020,1468,36,167,32,194,206,223,240,245,161,167,0,781,683,4,480,21,387,184,76,320,0,1,1,4,3,9,8,10,0,9,27,0,13,2,14,7,0,0,1,6,14,22,26,39,31,28,0,79,88,0,60,6,57,31,11,2
01/25/2021,859,11,68,103,198,173,130,106,97,32,20,0,459,397,3,271,24,150,172,42,200,0,0,1,1,0,2,2,5,0,1,10,0,5,0,1,4,1,0,2,3,5,3,16,17,12,10,0,36,32,0,14,1,30,18,4,1
12/22/2020,1339,17,84,178,300,251,195,163,151,64,37,0,692,644,3,468,48,188,266,65,304,0,0,0,1,2,2,8,4,0,7,10,0,2,3,8,4,0,0,0,4,7,7,11,17,21,17,0,43,41,0,24,1,36,14,5,4
04/01/2020,462,24,181,3,57,69,87,85,91,41,29,0,246,216,0,99,19,223,63,16,42,0,0,1,1,1,7,6,8,0,12,12,0,3,1,20,0,0,0,1,4,13,26,39,42,31,25,0,77,104,0,37,5,101,26,8,4
08/26/2020,388,3,35,48,126,82,44,44,23,12,9,0,196,191,1,191,5,41,93,20,38,0,0,0,1,0,0,1,1,0,0,3,0,1,0,1,1,0,0,1,4,4,3,8,5,5,5,0,21,14,0,15,1,7,5,5,2
07/30/2020,341,3,17,49,78,80,49,49,25,7,4,0,174,166,1,155,11,73,59,7,36,0,0,0,1,0,0,1,1,0,2,1,0,2,0,1,0,0,0,2,1,2,2,3,1,4,2,0,11,6,0,7,1,6,3,0,0
12/31/2020,973,22,71,89,250,200,142,120,79,56,37,0,491,478,4,218,29,109,300,56,261,0,0,0,0,2,3,11,6,0,10,12,0,9,0,8,5,0,0,2,1,5,6,12,17,12,16,0,33,38,0,12,2,35,18,4,0
10/06/2020,560,2,29,61,176,105,93,71,32,17,5,0,294,265,1,198,13,66,159,23,101,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,5,5,5,4,5,3,1,0,10,19,0,11,1,8,7,1,1
06/06/2020,170,20,38,18,33,22,36,28,20,9,4,0,88,81,1,82,1,25,24,6,32,0,0,1,1,0,7,7,4,0,7,13,0,8,1,9,2,0,0,0,6,5,4,5,10,2,6,0,12,26,0,15,0,13,8,0,2
12/18/2020,1302,19,81,168,291,250,205,168,120,59,40,1,670,622,10,424,56,228,232,69,293,0,0,0,0,3,2,5,9,0,9,10,0,11,0,4,4,0,0,2,3,8,7,6,25,16,14,0,41,40,0,17,8,36,15,3,2
04/07/2021,834,3,55,135,246,185,113,79,45,15,16,0,436,397,1,186,30,187,210,34,187,0,0,0,0,1,0,1,1,0,2,1,0,2,0,0,1,0,0,4,3,4,6,12,8,7,11,0,30,25,0,11,2,33,5,4,0
05/28/2020,524,22,70,41,111,90,98,69,62,27,26,0,261,256,7,215,7,117,59,13,113,0,0,0,1,5,1,4,11,0,11,11,0,10,0,7,5,0,0,4,2,10,7,9,15,8,15,0,34,36,0,29,2,23,12,1,3
06/18/2020,185,14,29,24,43,35,30,29,9,5,10,0,93,89,3,83,3,31,27,3,38,0,0,1,1,0,5,4,3,0,7,7,0,6,0,7,1,0,0,2,2,5,3,1,4,6,6,0,16,13,0,11,0,9,8,0,1
04/10/2020,571,32,155,22,80,101,99,107,85,42,35,0,255,312,4,170,26,211,76,26,62,0,0,1,3,3,3,9,13,0,11,21,0,3,2,24,3,0,0,0,9,10,22,19,40,27,28,0,63,92,0,51,4,68,23,9,0
04/30/2021,543,7,50,125,112,101,65,61,49,20,10,0,307,236,0,113,14,215,74,14,113,0,0,0,1,0,2,1,3,0,3,4,0,2,0,2,3,0,0,1,5,4,5,9,8,11,7,0,26,24,0,5,1,30,12,1,1
03/12/2020,21,0,7,0,6,5,2,4,3,1,0,0,6,15,0,2,0,2,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,0,0,3,4,0,0,1,4,2,0,0
03/10/2021,334,9,17,53,100,64,42,42,21,7,5,0,168,166,0,94,10,49,87,19,75,0,0,0,2,1,1,3,2,0,3,6,0,2,1,2,3,0,1,0,2,0,1,3,4,4,3,0,9,8,0,6,1,5,2,2,1
07/01/2020,266,13,22,17,98,51,32,27,25,6,10,0,154,111,1,92,2,67,61,3,41,0,0,0,3,2,2,2,4,0,5,8,0,6,0,4,3,0,0,1,1,0,4,5,4,3,4,0,11,11,0,5,0,11,4,0,2
03/19/2021,433,2,31,64,140,105,48,37,21,12,6,0,215,217,1,111,26,85,113,23,75,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,1,0,0,1,3,3,3,4,7,5,5,0,16,15,0,10,0,15,5,0,1
08/27/2020,383,2,24,40,133,75,59,32,24,12,8,0,209,173,1,181,6,62,79,20,35,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,1,0,0,0,4,3,4,2,4,5,2,0,18,6,0,10,0,6,5,3,0
07/12/2021,102,0,9,11,32,23,13,10,6,6,1,0,51,51,0,14,3,34,26,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,4,1,0,6,3,0,1,1,6,1,0,0
03/29/2021,729,3,42,97,239,136,93,90,46,18,10,0,385,341,3,167,24,166,210,28,134,0,0,0,0,1,1,1,0,0,0,3,0,1,0,1,1,0,0,2,4,6,4,11,8,2,5,0,23,19,0,6,1,22,9,1,3
04/12/2020,341,33,136,28,32,56,54,60,46,34,31,0,144,196,1,92,7,116,56,21,49,0,0,1,2,3,11,6,10,0,16,17,0,4,1,20,8,0,0,0,2,7,16,31,29,30,21,0,56,80,0,33,4,67,25,7,0
08/03/2021,378,1,13,50,124,83,44,34,29,8,6,0,197,179,2,70,11,90,114,10,83,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,3,1,2,2,1,2,0,4,9,0,1,0,5,6,1,0
05/31/2020,121,22,39,16,28,20,22,12,13,5,5,0,59,61,1,45,1,40,7,0,28,0,0,0,3,2,5,6,6,0,8,14,0,8,0,8,6,0,0,3,4,3,5,6,13,3,2,0,16,23,0,12,1,23,1,0,2
03/15/2021,366,6,34,43,107,69,63,30,34,12,8,0,200,166,0,85,25,71,93,25,67,0,0,0,0,0,4,0,2,0,3,3,0,3,0,2,1,0,0,1,3,2,3,4,12,4,5,0,23,11,0,7,3,11,5,5,3
09/25/2020,380,3,37,44,102,78,66,46,26,12,6,0,202,176,2,169,12,51,58,14,76,0,0,0,1,1,0,0,1,0,1,2,0,1,0,2,0,0,0,2,5,7,10,2,6,3,2,0,19,18,0,14,0,13,6,2,2
04/14/2020,666,33,166,16,102,121,122,126,78,51,50,0,356,310,0,232,24,198,97,32,83,0,1,2,1,3,5,9,12,0,11,22,0,8,2,13,10,0,0,3,7,13,19,37,30,29,28,0,71,95,0,57,4,70,27,7,1
04/30/2020,1271,40,169,57,230,221,227,188,150,96,102,0,619,628,24,546,23,212,145,49,296,0,0,3,0,4,8,11,14,0,17,23,0,13,1,18,8,0,0,1,11,16,13,34,40,24,30,0,76,92,1,60,8,56,31,11,3
04/15/2020,632,31,149,21,92,108,111,124,86,46,44,0,307,325,0,232,21,180,69,45,85,0,1,1,3,2,5,5,14,0,8,23,0,9,3,15,4,0,0,1,6,13,17,32,35,31,14,0,67,82,0,49,1,68,23,6,2
